"Year","Average_Ice_mass_change","Yearly_Sea_level_change"
"2002",-6.99142857142857,-9.38
"2003",-114.156363636364,-6.32162162162162
"2004",-260.7875,-4.43027027027027
"2005",-227.508333333333,-0.0308108108108108
"2006",-129.2875,1.09388888888889
"2007",-315.623333333333,1.48972972972973
"2008",-585.901666666667,3.5525
"2009",-562.466666666667,8.41540540540541
"2010",-841.0225,9.39810810810811
"2011",-940.61,8.43810810810811
"2012",-1075.31181818182,19.2645945945946
"2013",-1286.56222222222,21.3159459459459
"2014",-1498.56777777778,24.8627777777778
"2015",-1850.11111111111,35.4364864864865
"2016",-1775.40777777778,37.4786486486487
"2017",-1818.238,38.332972972973
"2018",-2128.892,42.2608108108108
"2019",-2325.71416666667,49.1656756756757
"2020",-2556.05833333333,49.7111111111111
"2021",-2637.70166666667,53.9337837837838
"2022",-2449.38909090909,56.6245945945946
